,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,action_1,action_2,action_3,action_4,action_5,max_value,max_action
0,6.0551333,6.67466,6.8820066,6.5169787,6.2597046,3.2274954,3.5290194,3.4024549,3.3418384,3.2099452,8.769523,8.197865,8.90501,8.022624,7.845429,18.0521517,18.4015444,19.189471500000003,17.8814411,17.3150788,19.189471500000003,3
1,6.6903157,6.781615,6.887973,6.8682275,6.6453595,3.4616127,3.5711498,3.4750152,3.5040283,3.415044,8.989057,8.085697,8.921167,8.196391,8.003373,19.140985399999998,18.4384618,19.2841552,18.5686468,18.0637765,19.2841552,3
2,6.8582196,6.9448075,6.9141107,6.947717,6.736498,3.525396,3.6785846,3.5276484,3.5534604,3.4645283,9.049952,8.189817,8.951568,8.263708,8.062481,19.4335676,18.8132091,19.3933271,18.764885399999997,18.2635073,19.4335676,1
3,6.8777447,7.055177,6.901516,6.949641,6.793189,3.5327032,3.7595303,3.543385,3.56286,3.5108416,9.004643,8.247147,8.909763,8.255171,8.071753,19.4150909,19.0618543,19.354664,18.767672,18.3757836,19.4150909,1
4,6.808505,7.011068,6.8505917,6.930088,6.773722,3.5148125,3.74052,3.530851,3.568626,3.5252175,8.958439,8.166824,8.865576,8.264298,8.07634,19.2817565,18.918412,19.2470187,18.763012,18.375279499999998,19.2817565,1
5,6.735042,6.929492,6.780241,6.9044375,6.7412868,3.490659,3.7004187,3.5055776,3.5660136,3.5198479,8.924295,8.064824,8.817546,8.271509,8.067682,19.149996,18.694734699999998,19.1033646,18.7419601,18.328816699999997,19.149996,1
6,6.6233144,6.801045,6.718506,6.8187785,6.6728973,3.479147,3.6608622,3.493702,3.5437882,3.510914,8.955277,7.959204,8.846691,8.272244,8.049617,19.057738399999998,18.4211112,19.058899,18.6348107,18.2334283,19.058899,3
7,6.6250906,6.8227572,6.710836,6.8627396,6.6875806,3.479388,3.676207,3.4946618,3.56454,3.511246,8.950679,7.968368,8.847751,8.312037,8.063929,19.0551576,18.4673322,19.0532488,18.739316600000002,18.2627556,19.0551576,1
8,6.6063027,6.8184476,6.712291,6.8766375,6.6907325,3.4659889,3.673836,3.4912481,3.562879,3.505207,8.914082,7.9451146,8.836537,8.295442,8.045373,18.9863736,18.4373982,19.0400761,18.734958499999998,18.2413125,19.0400761,3
9,6.606543,6.835697,6.7210402,6.898827,6.7116933,3.4634671,3.6912591,3.4957356,3.5665033,3.5132427,8.905625,7.9593472,8.8365755,8.290926,8.044228,18.9756351,18.4863033,19.053351300000003,18.7562563,18.269164,19.053351300000003,3
10,6.5968027,6.835076,6.726335,6.912117,6.730071,3.4608607,3.7059617,3.509561,3.5758028,3.5280397,8.89529,7.9661555,8.849401,8.28375,8.042669,18.9529534,18.5071932,19.085297,18.771669799999998,18.3007797,19.085297,3
11,6.5941443,6.8353105,6.7322736,6.930485,6.74923,3.4637823,3.7215476,3.5246105,3.5899577,3.5457063,8.896579,7.975922,8.8647785,8.287827,8.048126,18.954505599999997,18.5327801,19.1216626,18.8082697,18.3430623,19.1216626,3
12,6.5898533,6.831531,6.734924,6.943561,6.763715,3.466464,3.7346163,3.538209,3.6021771,3.5613165,8.897494,7.980205,8.8771715,8.290693,8.051924,18.953811299999998,18.546352300000002,19.1503045,18.8364311,18.3769555,19.1503045,3
13,6.588805,6.825354,6.7378855,6.957324,6.778944,3.4695592,3.743726,3.5499945,3.6130655,3.5764482,8.900143,7.9798503,8.887699,8.292301,8.055456,18.9585072,18.5489303,19.175579,18.8626905,18.4108482,19.175579,3
14,6.595902,6.825348,6.741743,6.9758162,6.789054,3.4781687,3.7557557,3.5625153,3.6276746,3.589984,8.912398,7.9856076,8.899286,8.298377,8.056774,18.9864687,18.5667113,19.203544299999997,18.901867799999998,18.435812,19.203544299999997,3
15,6.5968738,6.821964,6.732498,6.9790263,6.776883,3.4828985,3.7623036,3.5655947,3.6333404,3.589772,8.907948,7.975591,8.885419,8.278627,8.032158,18.9877203,18.5598586,19.1835117,18.8909937,18.398813,19.1835117,3
16,6.5885205,6.807492,6.716601,6.9660053,6.755629,3.481504,3.7604403,3.5620828,3.6276228,3.5820634,8.891542,7.9515357,8.859973,8.241082,7.991831,18.961566499999996,18.519468,19.1386568,18.834710100000002,18.3295234,19.1386568,3
17,6.5794015,6.791836,6.6989765,6.950545,6.7331986,3.4798212,3.7580445,3.5578208,3.6207545,3.5738397,8.874364,7.9264407,8.832344,8.20265,7.950493,18.9335867,18.4763212,19.0891413,18.7739495,18.2575313,19.0891413,3
18,6.5738726,6.7780313,6.682088,6.9416323,6.710716,3.481439,3.7582068,3.5550418,3.620298,3.567084,8.864138,7.907351,8.808255,8.179219,7.913275,18.9194496,18.4435891,19.0453848,18.7411493,18.191074999999998,19.0453848,3
19,6.6550407,6.849386,6.723814,7.024279,6.7660704,3.519562,3.806485,3.5792856,3.6650653,3.6001618,8.938285,7.998607,8.84034,8.245848,7.9566946,19.1128877,18.654477999999997,19.1434396,18.9351923,18.3229268,19.1434396,3
20,6.7030616,6.8722105,6.752759,7.0690665,6.811249,3.5397675,3.8256104,3.5947142,3.6888382,3.6274314,8.973743,8.033911,8.855211,8.285165,7.981871,19.2165721,18.7317319,19.2026842,19.0430697,18.4205514,19.2165721,1
