,HEAD1,HEAD1,HEAD1,HEAD1,HEAD1,HEAD2,HEAD2,HEAD2,HEAD2,HEAD2,HEAD3,HEAD3,HEAD3,HEAD3,HEAD3,FINALL,FINALL,FINALL,FINALL,FINALL,,
,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q_MAX,ACTION
0,2.920035,2.917723,2.9850962,2.9090197,2.868356,2.704862,2.7465012,2.7398422,2.747984,2.6953225,2.9605675,2.9501276,2.950546,2.9453316,2.9001503,8.5854645,8.6143518,8.6754844,8.6023353,8.4638288,8.6754844,3
1,2.9209318,2.9230957,2.963643,2.909778,2.8792572,2.8290482,2.8715286,2.8361344,2.8457258,2.8214235,2.9644563,2.957701,2.9230976,2.9476573,2.9080896,8.7144363,8.7523253,8.722875,8.7031611,8.6087703,8.7523253,2
2,2.9451778,2.9591246,2.991634,2.9465268,2.9186044,2.9518714,3.0025616,2.957517,2.958763,2.9496799,2.9914227,2.994127,2.9434068,2.9857616,2.9439318,8.8884719,8.9558132,8.8925578,8.8910514,8.8122161,8.9558132,2
3,3.0080702,3.0270905,3.0573578,3.0191534,2.9797268,3.017726,3.076489,3.0250273,3.036708,3.014746,3.052581,3.0631676,3.0095468,3.0605705,3.0033214,9.0783772,9.1667471,9.0919319,9.1164319,8.9977942,9.1667471,2
4,3.0042965,3.0197814,3.0497262,3.0184734,2.9809628,3.016457,3.0722723,3.019392,3.0394535,3.0182316,3.0472462,3.0555773,3.0015838,3.0613868,3.0030723,9.0679997,9.147631,9.070702,9.1193137,9.0022667,9.147631,2
5,2.9968083,3.0057776,3.0391793,3.0158887,2.978782,3.011475,3.060751,3.0107422,3.0395641,3.0178258,3.038664,3.0409718,2.990535,3.0599692,2.9994488,9.0469473,9.1075004,9.0404565,9.115422,8.9960566,9.115422,4
6,2.9983554,2.9999475,3.0382366,3.0199301,2.9800572,3.016189,3.0578601,3.0121436,3.046267,3.0213566,3.039947,3.0346289,2.9891253,3.0649006,2.999396,9.0544914,9.0924365,9.0395055,9.1310977,9.0008098,9.1310977,4
7,2.9999452,2.9990077,3.041945,3.0241325,2.980939,3.021719,3.0599828,3.0186243,3.053511,3.0244021,3.0418653,3.0334206,2.9922245,3.0697343,2.999072,9.0635295,9.0924111,9.0527938,9.1473778,9.0044131,9.1473778,4
8,2.994203,3.0032222,3.0468156,3.0298412,2.9827054,3.020208,3.0655818,3.025474,3.0614524,3.0264165,3.0366912,3.0378952,2.9966886,3.075566,3.000164,9.0511022,9.1066992,9.0689782,9.1668596,9.0092859,9.1668596,4
9,2.9848635,2.9978225,3.043746,3.0269167,2.9781377,3.0137944,3.060352,3.0236359,3.0593348,3.0210807,3.028421,3.0327559,2.9936,3.0727968,2.995535,9.0270789,9.0909304,9.0609819,9.1590483,8.9947534,9.1590483,4
