,HEAD1,HEAD1,HEAD1,HEAD1,HEAD1,HEAD2,HEAD2,HEAD2,HEAD2,HEAD2,HEAD3,HEAD3,HEAD3,HEAD3,HEAD3,FINALL,FINALL,FINALL,FINALL,FINALL,,
,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q_MAX,ACTION
23,3.2289252,3.4174795,3.1360707,3.5817854,3.3032653,3.3176773,3.43949,3.1339066,3.5832984,3.3357146,3.3093884,3.4532077,3.1072714,3.6498575,3.3575966,9.8559909,10.3101772,9.3772487,10.8149413,9.9965765,10.8149413,4
24,3.187324,3.3929417,3.083075,3.5277262,3.2556245,3.277873,3.416427,3.0850198,3.5316975,3.2908099,3.2669544,3.4289117,3.0560791,3.596071,3.311444,9.7321514,10.2382804,9.2241739,10.6554947,9.8578784,10.6554947,4
25,3.1491847,3.3634691,3.0345898,3.4859848,3.2187955,3.2409785,3.3890982,3.0396597,3.4916863,3.2565815,3.2288485,3.4000928,3.0100348,3.5544746,3.2768762,9.6190117,10.1526601,9.0842843,10.5321457,9.7522532,10.5321457,4
26,3.1051803,3.3261282,2.9782715,3.4364843,3.18078,3.197269,3.3538218,2.9856088,3.4440496,3.220989,3.1845675,3.363246,2.956536,3.5055616,3.2411492,9.4870168,10.043196,8.9204163,10.3860955,9.6429182,10.3860955,4
27,3.0623267,3.2831419,2.8932128,3.3740795,3.161182,3.154745,3.3132718,2.899828,3.3849068,3.202256,3.1396682,3.3196263,2.8706312,3.444718,3.225202,9.3567399,9.91604,8.663672,10.2037043,9.58864,10.2037043,4
28,3.0166168,3.2214608,2.7872608,3.2986553,3.1349816,3.110672,3.2549284,2.7934623,3.3148112,3.176615,3.0923347,3.2572393,2.7627342,3.3712575,3.2021513,9.2196235,9.7336285,8.3434573,9.984724,9.5137479,9.984724,4
29,3.0018814,3.1887577,2.7158659,3.2752595,3.1598263,3.0943596,3.2205093,2.7215335,3.295435,3.2008455,3.075345,3.2234159,2.693398,3.3504257,3.22818,9.171586,9.6326829,8.1307974,9.9211202,9.5888518,9.9211202,4
30,3.0286508,3.2233837,2.7089849,3.2873838,3.1997747,3.1171713,3.249766,2.7138708,3.309099,3.238535,3.097338,3.256542,2.6894107,3.364908,3.266177,9.2431601,9.7296917,8.1122664,9.9613908,9.7044867,9.9613908,4
31,3.0621786,3.2094939,2.71788,3.2348483,3.2192633,3.1466775,3.2325475,2.7263498,3.2591143,3.2576988,3.1249478,3.2389503,2.700939,3.3152459,3.28494,9.3338039,9.6809917,8.1451688,9.8092085,9.7619021,9.8092085,4
32,3.0856915,3.1797035,2.7358298,3.1768842,3.2123399,3.1670938,3.199897,2.74745,3.2040477,3.250105,3.1440134,3.2054539,2.724487,3.260771,3.2773604,9.3967987,9.5850544,8.2077668,9.6417029,9.7398053,9.7398053,5
33,3.0841417,3.1276197,2.725735,3.0930448,3.1462812,3.1666088,3.1467922,2.742916,3.1239142,3.1852248,3.1390944,3.1512334,2.7194324,3.1795678,3.208134,9.3898449,9.4256453,8.1880834,9.3965268,9.53964,9.53964,5
34,3.0627956,3.0619175,2.7075822,2.9968712,3.0355954,3.1497653,3.080682,2.7302659,3.0331032,3.0756848,3.114061,3.0844598,2.702678,3.0850103,3.0905163,9.3266219,9.2270593,8.1405261,9.1149847,9.2017965,9.3266219,1
35,2.8255913,2.7899797,2.4505324,2.7062802,2.714144,2.9352736,2.8229125,2.4996028,2.7677734,2.770698,2.8717785,2.8074048,2.455363,2.803958,2.7661903,8.6326434,8.420297,7.4054982,8.2780116,8.2510323,8.6326434,1
36,2.5364542,2.5643275,2.2732887,2.438288,2.5042012,2.6695673,2.605445,2.345581,2.5200734,2.5749977,2.5757484,2.5749068,2.2857053,2.5431426,2.5512102,7.7817699,7.7446793,6.904575,7.501504,7.6304091,7.7817699,1
37,2.0492914,2.1354148,1.9588633,1.9894767,2.1353827,2.2041388,2.1872737,2.058654,2.0983958,2.2336729,2.0749843,2.1332989,1.9782313,2.1006126,2.1846497,6.3284145,6.4559874,5.9957486,6.1884851,6.5537053,6.5537053,5
38,1.5169153,1.1363155,1.2601341,1.4611447,0.9971292,1.6217277,1.2281799,1.3543164,1.5876194,1.1061698,1.5523124,1.1213337,1.2720025,1.5640035,1.0544161,4.6909554,3.4858291,3.886453,4.6127676,3.1577151,4.6909554,1
39,1.5236423,1.0787393,1.303372,1.5645559,0.93837476,1.62725,1.1693015,1.3836566,1.6872736,1.0492872,1.5583342,1.0587257,1.3243378,1.6657608,0.9996097,4.7092265,3.3067665,4.0113664,4.9175903,2.98727166,4.9175903,4
40,1.5186863,1.2288294,1.3949981,1.7922881,0.9589982,1.6228633,1.3091226,1.45588,1.9021833,1.0731193,1.5544614,1.2038531,1.424251,1.889004,1.0296426,4.696011,3.7418051,4.2751291,5.5834754,3.0617601,5.5834754,4
41,1.5213015,1.3924098,1.4977114,2.016797,0.94491494,1.626081,1.4624729,1.5351225,2.1118562,1.06038,1.5599916,1.3637905,1.534836,2.109358,1.0235398,4.7073741,4.2186732,4.5676699,6.2380112,3.02883474,6.2380112,4
42,2.7601736,1.9230059,2.541822,2.4205747,2.349803,2.7627907,1.9758635,2.5192077,2.4269423,2.353735,2.8381925,1.938385,2.5139112,2.45238,2.4029353,8.3611568,5.8372544,7.5749409,7.299897,7.1064733,8.3611568,1
43,2.723682,1.8901999,2.522174,2.3773355,2.3151803,2.7330685,1.9452507,2.5009162,2.3945155,2.3142183,2.8035598,1.8998752,2.4970853,2.4158862,2.3724573,8.2603103,5.7353258,7.5201755,7.1877372,7.0018559,8.2603103,1
44,2.7085645,1.980484,2.7215858,2.1225355,2.082713,2.76777,2.0331357,2.7363782,2.1834085,2.115723,2.7692754,1.9488252,2.7367346,2.2010098,2.1440005,8.2456099,5.9624449,8.1946986,6.5069538,6.3424365,8.2456099,1
45,2.594275,1.8258395,2.7071621,1.9561335,1.8834993,2.6623356,1.8831086,2.7261481,2.02199,1.9234898,2.6535287,1.7862263,2.72757,2.0332232,1.9380708,7.9101393,5.4951744,8.1608802,6.0113467,5.7450599,8.1608802,3
46,2.309072,1.0500857,2.397727,1.6332855,1.2932856,2.4035227,1.1536839,2.4516153,1.7215785,1.3839792,2.3680341,1.0125273,2.4268131,1.7005256,1.3529623,7.0806288,3.2162969,7.2761554,5.0553896,4.0302271,7.2761554,3
47,1.8061962,0.38536537,1.9701731,1.1582614,0.63537896,1.9468808,0.53868675,2.0625563,1.2733808,0.77765656,1.8739314,0.35085556,2.006031,1.2290409,0.69776666,5.6270084,1.27490768,6.0387604,3.6606831,2.11080218,6.0387604,3
48,1.7439532,1.7491025,1.9094408,2.0333788,1.0897105,1.8007491,1.8380554,1.9189334,2.1102881,1.173295,1.8327758,1.8063806,1.85174,2.1170979,1.0456221,5.3774781,5.3935385,5.6801142,6.2607648,3.3086276,6.2607648,4
49,1.4296427,1.5497143,1.6793324,1.8353176,0.4614077,1.5264463,1.6612031,1.7048571,1.9418502,0.5866108,1.5337472,1.6081364,1.6254525,1.9335911,0.42761976,4.4898362,4.8190538,5.009642,5.7107589,1.47563826,5.7107589,4
50,0.18475848,1.7520626,1.4501895,1.3134861,-0.000127286,0.39407405,1.8977847,1.5445788,1.5128503,0.17569819,0.31014368,1.7696991,1.382819,1.4051698,0.007212579,0.88897621,5.4195464,4.3775873,4.2315062,0.182783483,5.4195464,2
51,-0.13711208,1.723834,1.3305595,1.1610625,-0.42049858,0.0922682,1.8750327,1.4322556,1.3778927,-0.20872179,-0.009915769,1.7404451,1.2650484,1.2576716,-0.3928014,-0.054759649,5.3393118,4.0278635,3.7966268,-1.02202177,5.3393118,2
52,-0.32151783,1.6517587,1.2622368,1.0763371,-0.7928506,-0.08086732,1.8090024,1.3664037,1.3042643,-0.55229497,-0.19111589,1.6684854,1.1978489,1.174207,-0.7492579,-0.59350104,5.1292465,3.8264894,3.5548084,-2.09440347,5.1292465,2
53,-0.49870235,1.5389547,1.2328769,1.050975,-1.064411,-0.25087282,1.7030466,1.3379447,1.2823396,-0.8036083,-0.36481968,1.5586174,1.173538,1.1482427,-1.0071578,-1.11439485,4.8006187,3.7443596,3.4815573,-2.8751771,4.8006187,2
54,-0.6820248,1.4614183,1.2197343,1.0313852,-1.2737643,-0.4299672,1.6295111,1.3227631,1.2652879,-0.99777186,-0.5457593,1.4825659,1.1648839,1.1296653,-1.2030426,-1.6577513,4.5734953,3.7073813,3.4263384,-3.47457876,4.5734953,2
55,-0.82901245,1.3382128,1.1837878,0.9991801,-1.5079497,-0.57728267,1.511817,1.2827183,1.2387717,-1.2167606,-0.691313,1.360193,1.128667,1.099354,-1.428683,-2.09760812,4.2102228,3.5951731,3.3373058,-4.1533933,4.2102228,2
56,-1.5418272,1.9243497,0.18739934,0.011883408,-1.9398613,-1.2284404,2.102882,0.36926013,0.26578236,-1.6212339,-1.4005289,1.9541771,0.18451926,0.16955766,-1.8601193,-4.1707965,5.9814088,0.74117873,0.447223428,-5.4212145,5.9814088,2
57,2.5309155,2.8383548,2.497105,2.9559102,2.6073532,2.657327,2.9391322,2.4847996,3.0839236,2.667581,2.5973904,2.9092793,2.4901798,3.0509136,2.6651902,7.7856329,8.6867663,7.4720844,9.0907474,7.9401244,9.0907474,4
58,2.4822378,2.839296,2.525882,2.9526992,2.6067917,2.6152246,2.9416852,2.5104034,3.0821383,2.665448,2.5536408,2.9107785,2.5153053,3.0450304,2.668389,7.6511032,8.6917597,7.5515907,9.0798679,7.9406287,9.0798679,4
59,2.7265966,2.568901,2.8716552,2.963704,2.9862242,2.7961445,2.648177,2.8563385,3.0524094,3.0613837,2.7276607,2.6257763,2.8486571,3.0396454,3.0797029,8.2504018,7.8428543,8.5766508,9.0557588,9.1273108,9.1273108,5
60,3.1162407,3.0889564,2.778605,2.8865528,2.972368,3.190864,3.1353157,2.7889602,2.9641836,3.0234325,3.1875765,3.1164212,2.7613804,2.9975634,3.00692,9.4946812,9.3406933,8.3289456,8.8482998,9.0027205,9.4946812,1
61,2.9619708,2.8888023,2.804835,2.6862123,2.8570728,3.0139053,2.9336236,2.794221,2.756079,2.891649,3.0217335,2.8996153,2.783839,2.7977858,2.8987534,8.9976096,8.7220412,8.382895,8.2400771,8.6474752,8.9976096,1
62,2.7237248,2.6199229,2.59281,2.3679922,2.6125746,2.7760212,2.673356,2.5891483,2.438832,2.648769,2.7790127,2.6173885,2.5746787,2.4759638,2.6517386,8.2787587,7.9106674,7.756637,7.282788,7.9130822,8.2787587,1
63,2.1913297,2.0835042,2.0171378,1.8299427,2.0301158,2.2893023,2.1653662,2.0557075,1.9165436,2.0921984,2.2606575,2.0611963,2.0075798,1.9489901,2.0677905,6.7412895,6.3100667,6.0804251,5.6954764,6.1901047,6.7412895,1
64,1.7713852,1.6848931,1.5754254,1.3507069,1.5541481,1.9017338,1.7905059,1.6444727,1.4568923,1.6395963,1.8431743,1.6483291,1.5726235,1.4790351,1.5842345,5.5162933,5.1237281,4.7925216,4.2866343,4.7779789,5.5162933,1
65,1.3825216,1.2866918,1.1400952,0.8330226,1.1191999,1.5426009,1.4167287,1.2330853,0.96633637,1.2291646,1.4541364,1.2399075,1.1447611,0.97153115,1.1447849,4.3792589,3.943328,3.5179416,2.77089012,3.4931494,4.3792589,1
66,0.9980598,0.79883444,0.7218524,0.2333947,0.7063273,1.1832696,0.9535747,0.8363062,0.39584,0.8393042,1.0647621,0.7423401,0.7361062,0.3819117,0.73013306,3.2460915,2.49474924,2.2942648,1.0111464,2.27576456,3.2460915,1
67,1.6290662,1.9026158,1.2032446,1.2121122,1.3056729,1.7522871,1.9824014,1.2440655,1.3186659,1.3654804,1.6921195,1.826705,1.1500828,1.3373283,1.2899181,5.0734728,5.7117222,3.5973929,3.8681064,3.9610714,5.7117222,2
68,1.636347,1.8591372,1.1277214,1.0747983,1.2084683,1.766983,1.9411652,1.1699083,1.1785979,1.2675973,1.7077665,1.7701546,1.0780692,1.2044667,1.189529,5.1110965,5.570457,3.3756989,3.4578629,3.6655946,5.570457,2
